"nombre","ALMEIDA","AQUITANIA (PUEBLOVIEJO)","ARCABUCO","BELEN","BERBEO","BETEITIVA","BOAVITA","BOYACA","BRICEÃO","BUENAVISTA","BUSBANZA","CALDAS","CAMPOHERMOSO","CERINZA","CHINAVITA","CHIQUINQUIRA","CHIQUIZA","CHISCAS","CHITA","CHITARAQUE","CHIVATA","CHIVOR","CIENEGA","COMBITA","COPER","CORRALES","COVARACHIA","CUBARA","CUCAITA","CUITIVA","DUITAMA","EL COCUY","EL ESPINO","FIRAVITOBA","FLORESTA","GACHANTIVA","GAMEZA","GARAGOA","GUACAMAYAS","GUATEQUE","GUAYATA","GUICAN","IZA","JENESANO","JERICO","LA CAPILLA","LA UVITA","LA VICTORIA","LABRANZAGRANDE","MACANAL","MARIPI","MIRAFLORES","MONGUA","MONGUI","MONIQUIRA","MOTAVITA","MUZO","NOBSA","NUEVO COLON","OICATA","OTANCHE","PACHAVITA","PAEZ","PAIPA","PAJARITO","PANQUEBA","PAUNA","PAYA","PAZ DE RIO","PESCA","PISBA","PUERTO BOYACA","QUIPAMA","RAMIRIQUI","RAQUIRA","RONDON","SABOYA","SACHICA","SAMACA","SAN EDUARDO","SAN JOSE DE PARE","SAN LUIS DE GACENO","SAN MATEO","SAN MIGUEL DE SEMA","SAN PABLO DE BORBUR","SANTA MARIA","SANTA ROSA DE VITERBO","SANTA SOFIA","SANTANA","SATIVANORTE","SATIVASUR","SIACHOQUE","SOATA","SOCHA","SOCOTA","SOGAMOSO","SOMONDOCO","SORA","SORACA","SOTAQUIRA","SUSACON","SUTAMARCHAN","SUTATENZA","TASCO","TENZA","TIBANA","TIBASOSA","TINJACA","TIPACOQUE","TOCA","TOGUI","TOPAGA","TOTA","TUNJA","TUNUNGUA","TURMEQUE","TUTA","TUTAZA","UMBITA","VENTAQUEMADA","VILLA DE LEIVA","VIRACACHA","ZETAQUIRA"
"BENIGNO HERNAN DIAZ CARDENAS",5,39,9,1,2,0,32,3,1,9,0,3,2,1,1,95,2,28,11,7,16,11,21,33,2,2,1,2,5,6,124,27,37,4,88,0,2,62,1,3,20,4,6,8,1,1,8,2,0,3,0,8,0,1,37,11,3,11,25,22,17,1,2,14,5,5,7,0,3,87,0,309,8,13,8,7,15,5,7,1,3,37,12,7,7,17,16,5,4,2,0,19,23,4,2,108,4,3,49,8,0,9,1,2,7,4,36,10,2,59,2,1,1,2087,6,1,23,0,0,13,141,12,2
"CANDIDATURA NO ACEPTADA",4,43,2,3,2,4,5,2,2,3,1,1,0,8,7,48,2,0,2,3,3,0,3,12,2,1,0,4,1,0,154,2,5,3,4,4,3,7,0,8,4,1,1,2,0,3,2,0,0,1,0,2,22,0,17,2,37,7,5,1,22,4,2,20,2,0,6,0,0,2,0,60,15,5,11,5,10,1,1,1,10,8,5,2,40,1,9,6,7,11,1,12,18,4,7,96,0,1,1,10,3,0,1,1,7,0,13,9,2,7,13,2,0,105,1,2,2,0,3,11,14,2,0
"MAYRA ALEJANDRA VIANCHA SANABRIA",3,11,1,6,0,0,2,1,1,0,0,0,0,0,1,40,0,1,2,1,1,3,0,3,1,1,3,2,3,0,70,2,0,1,0,2,0,9,6,3,0,2,1,2,0,0,1,1,0,3,0,0,5,5,7,3,2,43,2,3,3,1,1,20,1,0,4,0,0,0,0,48,2,4,3,0,6,0,2,0,0,3,1,6,1,1,6,1,2,1,2,5,6,1,1,75,1,2,5,8,1,3,1,6,2,0,6,2,0,4,4,4,2,148,1,0,3,1,0,4,9,1,0
"PARTIDO LIBERAL COLOMBIANO",63,222,349,739,280,172,94,466,66,233,8,396,201,86,34,2957,1031,742,166,406,87,36,111,766,347,29,41,397,176,89,2538,310,81,265,27,171,166,577,115,826,309,109,103,836,48,22,60,119,56,61,1103,1480,79,479,549,793,224,781,331,164,81,31,259,871,188,261,264,13,113,73,9,2240,282,1018,194,97,452,449,230,122,166,120,72,210,145,82,256,71,1192,33,163,387,313,668,363,6463,409,209,523,269,63,186,108,243,111,1575,302,99,293,706,341,71,513,8576,88,596,1045,138,62,921,1055,146,624
"SOLO LISTA PARTIDO LIBERAL COLOMBIANO",7,23,23,68,17,17,2,41,4,25,0,39,22,8,7,134,65,71,23,36,11,1,7,56,17,5,4,38,6,14,179,35,10,25,6,16,19,32,2,93,16,5,20,84,1,2,5,21,6,3,53,98,10,20,57,63,32,38,27,10,12,3,15,69,22,19,8,1,7,9,0,266,22,114,16,5,65,16,38,3,15,3,5,31,7,9,26,4,140,7,15,30,22,59,69,381,23,14,35,42,1,15,15,22,16,194,38,5,31,41,44,12,44,396,7,55,72,12,4,95,50,23,47
"LUIS ALEJANDRO GUTIERREZ SANABRIA",29,117,111,516,17,16,51,31,33,87,4,141,91,16,4,503,158,526,17,89,16,6,11,180,98,14,16,131,15,49,823,164,37,143,9,82,53,203,106,63,8,51,49,41,33,7,17,30,13,10,921,120,27,317,82,89,54,511,54,27,45,2,13,254,67,221,178,6,29,32,5,358,21,336,35,47,74,183,87,13,29,38,55,8,86,24,79,8,40,4,6,73,112,101,118,4376,10,95,23,21,7,34,1,128,30,138,123,5,73,96,96,41,419,1597,52,15,69,15,6,119,216,7,33
"MAYDA CECILIA VELASQUEZ RUEDA",15,12,5,16,3,1,8,10,1,7,2,4,2,3,9,75,8,19,8,4,5,2,2,16,4,1,2,9,5,5,135,8,0,19,2,13,7,66,1,55,5,0,4,17,2,6,1,14,4,18,10,41,6,21,29,16,21,42,7,6,3,4,8,31,2,4,11,0,2,2,2,75,50,67,6,4,7,7,12,6,0,10,2,5,4,13,19,2,27,2,8,10,15,19,14,340,307,10,13,12,8,11,56,12,7,10,15,2,27,16,5,7,19,449,1,11,37,2,3,26,34,4,8
"RAFAEL ROMERO PIÃEROS",7,19,160,52,66,124,14,297,5,31,0,30,57,16,10,641,161,84,33,251,20,7,75,103,86,5,6,63,117,8,592,67,22,37,9,32,13,197,3,401,39,2,18,301,9,4,23,9,3,7,21,1111,7,105,190,323,68,100,163,41,6,20,167,227,7,9,19,0,30,15,2,1044,20,413,46,13,73,85,41,68,84,50,1,38,9,8,88,37,780,4,127,126,114,86,112,605,11,48,205,76,32,75,23,37,53,1138,53,57,114,472,120,4,22,3121,2,447,617,11,29,504,375,57,430
"FERNANDO SANDOVAL RODRIGUEZ",2,3,17,20,2,8,2,21,1,4,2,3,0,4,2,42,16,8,7,5,20,2,1,43,6,3,0,10,5,1,138,3,2,5,0,2,2,3,0,19,4,2,0,12,2,0,1,5,11,1,9,5,9,0,14,40,18,15,31,11,5,0,1,22,1,1,3,4,5,3,0,59,9,13,8,7,23,4,5,3,8,3,1,2,6,4,14,1,13,4,1,12,9,162,28,122,3,13,14,74,4,12,1,1,1,6,11,9,5,15,5,1,2,820,4,1,27,2,4,17,22,5,7
"CESAR AUGUSTO LOPEZ MORALES",2,45,32,60,175,3,16,59,22,78,0,178,29,38,1,1510,612,14,75,20,13,18,13,351,136,0,11,138,28,11,617,26,10,30,1,25,68,73,3,169,236,49,8,361,0,3,12,38,17,22,87,89,17,16,169,248,31,57,42,66,8,2,54,247,89,7,41,2,40,12,0,392,160,64,80,21,198,148,44,24,23,14,6,105,30,23,28,19,155,11,5,132,32,235,20,542,53,29,219,32,10,38,10,22,4,60,55,18,41,49,69,5,3,2024,20,49,211,95,15,137,347,44,94
"FLORALBA PIRAGAUTA PEREZ",1,3,1,7,0,3,1,7,0,1,0,1,0,1,1,52,11,20,3,1,2,0,2,17,0,1,2,8,0,1,54,7,0,6,0,1,4,3,0,26,1,0,4,20,1,0,1,2,2,0,2,16,3,0,8,14,0,18,7,3,2,0,1,21,0,0,4,0,0,0,0,46,0,11,3,0,12,6,3,5,7,2,2,21,3,1,2,0,37,1,1,4,9,6,2,97,2,0,14,12,1,1,2,21,0,29,7,3,2,17,2,1,4,169,2,18,12,1,1,23,11,6,5
"PARTIDO ALIANZA VERDE",19,203,173,132,56,73,86,47,63,122,18,49,30,93,73,2026,130,232,440,14,306,52,45,284,80,29,163,26,93,14,2425,91,88,126,226,84,48,62,15,881,98,126,42,71,121,97,197,19,10,58,223,144,88,63,683,88,462,455,79,180,100,117,136,4261,49,18,128,14,1076,307,11,992,250,205,121,32,735,100,911,10,841,103,62,46,105,112,343,47,117,93,43,480,218,331,244,1686,85,95,349,443,86,122,320,470,135,43,142,70,51,182,16,50,82,6067,52,57,317,292,468,284,156,35,152
"SOLO LISTA PARTIDO ALIANZA VERDE",7,37,22,7,7,7,6,8,7,11,2,0,4,16,10,115,12,22,53,2,33,14,8,13,7,2,19,2,11,1,201,10,11,20,10,20,7,9,6,48,10,17,5,9,13,7,41,1,3,7,21,29,12,11,61,9,32,52,6,13,8,14,18,169,12,4,13,5,48,28,4,258,19,16,23,4,103,7,60,2,123,8,17,9,11,11,50,7,7,12,0,91,15,26,35,210,11,8,51,51,7,12,20,35,21,5,23,5,8,27,1,3,6,570,2,9,27,12,31,43,22,3,20
"SANDRA LILIANA ORTIZ NOVA",6,38,20,67,4,42,17,24,14,16,8,24,2,19,20,858,9,16,122,4,67,8,10,58,18,8,5,1,8,2,805,9,22,31,28,5,22,18,1,40,5,9,6,35,73,6,12,1,1,4,168,30,44,18,35,23,241,171,17,21,23,5,6,336,2,0,88,2,869,46,2,189,54,39,27,1,536,7,18,3,30,4,1,11,48,7,40,2,55,45,32,22,83,237,175,804,7,43,67,40,8,65,22,141,69,14,67,9,22,18,2,24,13,1524,36,10,69,239,21,34,20,4,9
"EDWIN CRISANTO BOHORQUEZ MORA",4,11,88,10,13,2,1,3,1,48,0,4,4,5,24,71,2,1,4,2,48,10,4,52,9,2,0,9,2,0,171,2,4,4,59,11,2,8,0,716,66,8,4,7,4,71,1,5,0,23,2,6,4,2,387,12,56,15,34,31,17,79,4,61,28,2,4,0,100,4,0,41,123,19,6,10,15,7,7,1,603,66,3,1,9,73,28,19,19,9,0,142,21,15,7,74,18,4,63,18,7,8,259,14,34,5,6,10,3,34,6,0,0,781,3,14,24,17,368,72,21,8,51
"YAMIR OSWALDO LOPEZ PEÃA",1,57,19,18,22,11,36,6,37,36,4,12,19,15,9,698,9,68,199,2,53,9,14,115,34,7,29,4,14,7,413,63,38,24,18,27,9,10,4,11,7,50,8,8,14,11,54,6,3,9,15,58,12,16,120,19,73,69,12,88,34,7,92,159,4,7,9,5,42,13,1,178,22,92,35,11,46,13,16,1,48,17,7,20,30,9,46,9,31,15,7,92,27,39,18,260,22,22,60,84,31,13,9,196,1,6,19,26,9,36,2,14,8,1448,2,15,86,14,21,60,23,10,18
"LUZ MYRIAM CONTRERAS ESCOBAR",1,8,5,3,2,0,1,0,0,1,0,1,0,2,1,23,3,2,1,0,2,1,0,2,0,0,1,0,4,1,48,0,0,4,0,1,1,1,0,6,0,1,0,1,4,0,1,0,1,1,0,3,0,2,1,3,6,14,0,2,2,2,0,42,1,0,1,0,4,8,0,233,3,7,1,0,1,2,6,1,3,2,0,0,0,1,10,0,0,3,0,12,1,0,0,29,2,4,6,7,0,0,1,5,0,2,4,0,0,4,0,2,2,119,0,1,2,1,2,7,4,2,0
"JORGE ALBERTO HERRERA JAIME",0,51,12,26,6,11,13,6,3,7,4,5,0,35,9,148,20,123,57,2,101,10,9,34,12,9,108,7,15,3,754,7,11,34,105,16,6,13,3,50,2,37,19,3,11,0,84,4,2,14,16,13,12,14,69,19,11,128,9,22,16,9,15,3376,1,1,7,2,8,18,4,46,7,19,11,3,26,21,106,0,27,6,31,4,7,0,162,6,5,7,1,32,70,10,9,282,22,2,93,224,33,10,8,76,9,10,20,5,9,56,5,7,21,1430,9,5,102,8,22,57,53,3,11
"FRANCISCO JOSE GRIJALBA SILVA",0,1,7,1,2,0,12,0,1,3,0,3,1,1,0,113,75,0,4,2,2,0,0,10,0,1,1,3,39,0,33,0,2,9,6,4,1,3,1,10,8,4,0,8,2,2,4,2,0,0,1,5,4,0,10,3,43,6,1,3,0,1,1,118,1,4,6,0,5,190,0,47,22,13,18,3,8,43,698,2,7,0,3,1,0,11,7,4,0,2,3,89,1,4,0,27,3,12,9,19,0,14,1,3,1,1,3,15,0,7,0,0,32,195,0,3,7,1,3,11,13,5,43
"POLO DEMOCRATICO ALTERNATIVO",18,105,38,211,9,14,179,65,16,30,4,18,18,59,21,316,33,14,37,27,70,6,28,79,8,29,28,16,61,16,944,17,19,57,23,19,35,111,19,68,31,20,22,28,12,14,25,5,18,16,10,56,49,91,162,83,30,182,26,30,48,26,10,708,4,9,28,12,28,52,7,372,23,82,21,11,65,23,74,11,23,22,5,15,89,16,64,21,35,35,10,296,72,74,47,975,23,36,230,66,15,44,27,79,22,32,136,33,65,91,14,31,30,1880,8,131,83,92,66,150,107,73,24
"SOLO LISTA POLO DEMOCRATICO ALTERNATIVO",1,18,4,22,2,3,12,9,2,5,1,2,2,23,6,60,6,4,9,5,4,3,5,11,2,3,11,3,4,3,176,3,9,10,4,3,6,24,4,20,8,5,9,8,1,5,4,1,3,5,0,18,10,12,24,7,8,24,6,2,13,4,1,55,1,0,5,3,7,11,2,101,7,8,5,0,20,3,13,3,10,7,1,5,17,3,14,5,6,6,2,39,19,9,14,235,4,5,20,6,3,13,7,4,4,7,14,5,14,16,2,10,7,307,2,10,13,3,5,18,19,9,4
"CARMEN ROCIO ROJAS ALVAREZ",11,31,7,11,2,2,6,2,4,16,0,3,7,4,8,40,2,4,17,7,2,2,7,5,0,9,5,3,10,5,91,2,4,8,8,8,16,29,4,13,9,3,1,2,6,4,3,2,8,3,5,6,9,5,35,2,2,25,3,7,16,12,3,17,0,4,6,8,3,12,4,27,4,4,4,6,7,3,8,0,0,8,0,2,13,3,10,4,14,1,1,27,10,20,8,118,10,2,11,8,2,3,1,15,2,0,7,6,1,7,3,3,9,316,0,9,20,3,7,20,7,8,1
"GERMAN SUAREZ BERNAL",4,25,10,17,2,4,141,2,5,4,2,7,4,14,5,155,4,4,6,9,7,1,2,29,4,7,4,6,7,2,309,4,2,18,2,4,6,32,3,15,8,2,5,8,2,1,13,0,1,3,0,14,20,19,27,16,9,49,0,5,4,4,2,52,1,0,11,1,9,8,0,168,8,11,5,1,21,3,21,0,4,3,1,5,37,8,18,2,9,3,4,9,19,29,16,366,5,5,11,5,8,10,15,9,7,11,40,11,4,25,2,14,3,436,2,12,19,10,17,28,48,5,10
"LAURA ANDREA BELLO PORRAS",2,7,14,17,0,1,6,4,1,2,0,5,3,4,1,24,3,2,2,5,0,0,1,5,0,5,8,1,8,1,68,5,1,4,5,3,2,16,5,2,2,7,4,4,2,1,2,1,2,4,5,7,3,4,39,5,3,9,2,4,6,1,2,29,0,5,3,0,2,12,1,30,3,11,3,3,12,3,25,0,4,2,2,0,3,1,6,7,3,1,2,23,1,3,4,88,3,4,9,1,1,11,2,4,5,0,7,5,4,6,6,2,7,236,1,5,4,1,4,17,11,2,1
"JUAN CARLOS CORONADO",0,7,1,11,0,3,2,6,4,1,1,0,1,6,1,6,2,0,1,1,6,0,1,10,2,0,0,0,1,0,48,0,2,3,0,1,1,3,0,8,1,1,1,1,1,1,1,1,2,0,0,3,2,1,13,21,6,7,5,3,6,2,2,14,2,0,2,0,0,1,0,9,1,4,2,1,0,0,1,4,3,1,0,0,15,1,3,1,2,6,0,34,8,5,5,31,0,1,12,4,1,2,1,2,2,1,7,1,41,6,1,1,0,86,3,4,5,8,21,8,7,6,0
"WALTER ESTEVEN BENAVIDES CIFUENTES",0,15,1,132,2,1,9,41,0,0,0,0,1,6,0,17,12,0,0,0,50,0,3,16,0,5,0,2,29,5,177,0,0,13,1,0,2,4,3,2,1,0,1,3,0,1,1,0,2,0,0,7,5,49,21,31,1,58,9,7,2,3,0,521,0,0,0,0,1,4,0,18,0,43,2,0,2,10,3,4,2,1,0,1,2,0,11,0,0,17,1,132,13,5,0,96,0,19,156,37,0,2,1,38,0,8,53,1,1,28,0,1,4,433,0,89,19,67,11,57,12,39,0
"JOSE CARMEN JULIO MARQUEZ CHIA",0,2,1,1,1,0,3,1,0,2,0,1,0,2,0,14,4,0,2,0,1,0,9,3,0,0,0,1,2,0,75,3,1,1,3,0,2,3,0,8,2,2,1,2,0,1,1,0,0,1,0,1,0,1,3,1,1,10,1,2,1,0,0,20,0,0,1,0,6,4,0,19,0,1,0,0,3,1,3,0,0,0,1,2,2,0,2,2,1,1,0,32,2,3,0,41,1,0,11,5,0,3,0,7,2,5,8,4,0,3,0,0,0,66,0,2,3,0,1,2,3,4,8
"MOVIMIENTO "" MIRA """,7,53,26,20,12,1,13,18,2,9,4,6,1,8,20,428,2,2,6,5,7,6,20,17,0,3,4,6,3,6,1191,8,4,36,3,10,13,268,0,87,21,6,4,44,11,41,5,0,1,24,10,73,5,4,99,9,33,85,75,6,49,11,2,229,2,4,35,0,9,11,1,427,13,35,23,5,128,42,52,7,6,16,17,8,16,10,30,4,12,9,3,18,12,9,5,940,6,5,26,9,2,11,13,125,45,53,45,9,16,17,5,27,10,979,9,131,19,1,16,16,41,14,15
"SOLO LISTA MOVIMIENTO "" MIRA """,1,11,8,3,3,0,3,3,1,3,2,1,0,1,3,48,0,2,1,1,2,2,3,6,0,0,0,2,0,0,179,3,1,9,1,1,1,57,0,11,2,0,0,10,1,9,0,0,0,3,1,11,3,0,21,3,11,11,12,1,3,3,0,42,1,2,9,0,1,2,0,54,5,5,6,0,33,17,12,4,3,5,0,0,1,2,8,2,3,1,0,0,2,0,2,133,2,1,3,2,0,5,2,23,7,11,15,4,1,2,2,1,4,122,5,8,5,1,2,1,5,4,0
"ALFREDO DE JESUS MONTIEL BARRIOS",3,8,0,7,0,0,2,1,0,1,1,1,0,3,2,25,0,0,2,2,0,0,1,1,0,0,0,3,0,0,795,2,1,7,0,3,5,17,0,7,4,0,2,1,2,2,1,0,1,6,4,8,0,1,7,3,3,26,8,0,1,0,0,152,0,1,6,0,2,7,0,25,0,0,1,2,4,1,2,0,0,1,5,1,3,4,14,2,1,4,0,4,5,5,1,56,1,0,1,5,1,1,5,4,4,3,16,0,11,7,0,2,1,79,0,6,3,0,3,4,1,0,0
"RUTH NELSSY GARCIA VARGAS",2,4,18,2,0,0,0,11,0,0,0,2,0,1,0,9,1,0,1,2,3,1,0,5,0,0,2,0,2,1,34,1,1,3,0,3,0,8,0,3,0,3,1,3,2,2,2,0,0,2,1,4,1,1,8,1,2,6,2,2,1,0,1,14,1,0,2,0,0,0,0,12,0,7,6,0,3,0,30,1,1,2,3,0,1,1,4,0,1,1,1,8,2,0,1,35,0,3,16,0,0,1,1,1,1,1,2,2,3,3,1,0,3,635,0,4,5,0,7,5,1,7,3
"FRANCISCO JAVIER PARRA PARRA",1,2,0,0,0,0,0,2,0,0,0,0,1,0,7,7,0,0,0,0,1,2,3,1,0,0,0,0,0,0,31,0,0,5,0,0,0,167,0,58,8,0,0,26,1,24,0,0,0,10,0,1,0,0,3,1,1,5,46,0,1,1,0,5,0,0,0,0,1,0,0,9,0,21,0,0,2,1,0,0,0,5,0,0,0,2,0,0,1,0,0,0,1,2,0,27,2,0,0,0,0,1,4,1,30,32,6,1,0,1,0,4,0,62,0,101,2,0,1,0,0,0,0
"NANCY YAMILE MARTINEZ TORRES",0,6,0,6,1,0,0,0,0,2,0,1,0,2,1,19,0,0,1,0,1,0,1,2,0,2,2,0,1,2,57,1,0,1,2,3,0,4,0,3,3,0,0,0,4,2,0,0,0,2,1,1,1,1,4,1,2,6,2,2,1,4,0,5,0,0,0,0,0,1,1,309,2,0,1,2,6,0,2,1,0,3,1,2,1,0,3,0,4,2,1,3,1,1,0,38,0,1,2,1,0,2,0,4,0,0,0,0,1,1,1,2,0,41,0,5,3,0,1,2,2,2,0
"JOSE GENARO MOLINA PORRAS",0,1,0,1,0,1,0,1,1,3,0,1,0,1,6,314,1,0,0,0,0,0,1,1,0,1,0,1,0,0,38,1,0,0,0,0,0,2,0,4,0,1,0,1,0,2,0,0,0,1,3,0,0,0,54,0,13,3,2,0,41,2,1,6,0,0,13,0,0,0,0,6,5,1,8,1,75,20,1,0,2,0,1,5,9,0,1,0,2,1,0,3,0,0,1,18,0,0,2,0,1,0,1,4,1,5,2,2,0,2,0,0,0,17,4,3,0,0,1,3,31,1,0
"DIEGO FERNANDO MARTINEZ SANCHEZ",0,21,0,1,8,0,8,0,0,0,1,0,0,0,1,6,0,0,1,0,0,1,11,1,0,0,0,0,0,3,57,0,1,11,0,0,7,13,0,1,4,2,1,3,1,0,2,0,0,0,0,48,0,1,2,0,1,28,3,1,1,1,0,5,0,1,5,0,5,1,0,12,1,1,1,0,5,3,5,1,0,0,7,0,1,1,0,0,0,0,1,0,1,1,0,633,1,0,2,1,0,1,0,88,2,1,4,0,0,1,1,18,2,23,0,4,1,0,1,1,1,0,12
"PARTIDO UNION PATRIOTICA ""UP""",3,26,15,10,2,4,14,5,8,5,0,3,1,8,6,99,3,3,14,6,2,4,14,15,7,2,6,7,7,3,431,3,3,14,5,7,9,30,2,8,8,0,8,19,5,7,0,1,4,4,3,12,9,4,41,6,12,91,14,9,2,9,4,71,5,2,19,2,11,7,2,55,6,28,7,3,22,9,10,3,9,7,6,5,6,7,21,6,2,4,0,14,14,11,15,399,6,1,9,17,8,8,16,12,5,15,44,8,6,28,13,5,6,812,0,16,16,2,38,14,34,8,9
"SOLO LISTA PARTIDO UNION PATRIOTICA ""UP""",2,5,7,1,1,4,4,3,5,4,0,3,1,7,1,32,0,3,8,4,2,1,8,4,5,1,4,3,2,2,109,3,1,6,2,4,7,13,2,5,6,0,1,5,2,2,0,1,2,2,3,7,1,2,17,2,4,17,5,5,0,3,2,26,2,1,10,1,4,2,0,26,3,8,1,0,13,5,6,1,5,4,4,2,3,2,8,1,2,1,0,2,6,4,9,112,2,0,6,2,3,3,8,2,0,9,6,4,5,10,4,3,1,210,0,3,7,2,10,5,8,4,7
"MARYORY CATHERIN ORTIZ ALVAREZ",1,21,8,9,1,0,10,2,3,1,0,0,0,1,5,67,3,0,6,2,0,3,6,11,2,1,2,4,5,1,322,0,2,8,3,3,2,17,0,3,2,0,7,14,3,5,0,0,2,2,0,5,8,2,24,4,8,74,9,4,2,6,2,45,3,1,9,1,7,5,2,29,3,20,6,3,9,4,4,2,4,3,2,3,3,5,13,5,0,3,0,12,8,7,6,287,4,1,3,15,5,5,8,10,5,6,38,4,1,18,9,2,5,602,0,13,9,0,28,9,26,4,2
